objid,myRA,SDSS_RA,myDEC,SDSS_DEC,distance,modelMag_g,modelMag_r,modelMag_i,cModelMag_g,cModelMag_r,cModelMag_i,petroMag_g,petroMag_r,petroMag_i,petroRad_g,petroRad_r,petroRad_i
1237651823244600000,212.1949,212.1948381,4.909785,4.909803091,0.001480569,16.72595,16.29067,16.11201,16.86957,16.3619,16.13521,16.97371,16.49392,16.30192,21.97561,4.256391,4.484647
1237651823245520000,214.2811,214.2810615,4.83706,4.837064056,0.000403418,17.87288,17.57648,17.47389,17.91965,17.56578,17.42485,17.93371,17.58398,17.41892,5.903409,6.689325,6.498641
1237651823247810000,219.594,219.5939859,4.61328,4.613269958,0.000771789,17.66266,17.28996,17.08938,17.67197,17.28998,17.05733,17.70586,17.30135,17.12968,8.744707,8.985744,9.083369
1237651823247880000,219.7879,219.7878646,4.55181,4.551816911,0.000630887,17.44435,17.02593,16.83955,17.48148,17.02592,16.81656,17.48841,17.0509,16.83718,5.812963,5.86634,5.992275
1237651823248340000,220.8716,220.8716265,4.5315,4.531498379,0.001747435,16.35627,15.9742,15.84702,16.10529,15.97423,15.93349,16.5934,16.06695,16.33974,21.01231,20.17088,18.41775
1237654600496250000,165.1547,165.1546871,4.06531,4.06531083,0.00144064,15.98824,15.775,15.76809,16.30765,15.95042,15.96638,16.39929,16.10549,16.06802,11.15695,11.82499,11.68122
1237654600497160000,167.2842,167.2841579,4.06,4.06001082,0.000759764,17.34889,17.10349,17.00915,17.37596,17.10349,16.99795,17.36121,17.10926,16.99517,5.215632,5.273067,5.430198
1237654601565270000,154.2993,154.2989639,4.33078,4.331290695,0.036192798,15.95883,15.73372,15.66399,15.96447,15.73372,15.70252,16.06765,15.79221,15.81707,22.97464,23.45432,21.46154
1237654601566840000,157.9053,157.9053248,4.57279,4.57279241,0.000594976,15.98164,16.08933,16.37441,16.15421,16.15302,16.35781,16.22864,16.28002,16.52674,4.933461,5.528946,5.819232
1237654601569730000,164.5707,164.570707,4.79219,4.792210632,0.001240643,16.54279,15.72469,15.33733,16.53683,15.72469,15.34269,16.49323,15.74815,15.37081,16.81553,16.74944,16.25681
1237654602098730000,146.5148,146.5147579,4.40345,4.403444612,0.000360432,13.81942,12.98315,12.56647,13.85776,13.02151,12.61351,14.01883,13.17098,12.7581,15.08432,15.30979,15.77164
1237654602099780000,148.9073,148.9073202,4.47675,4.476741169,0.000538633,16.38816,16.08079,15.94004,16.40137,16.08064,15.92059,16.42567,16.08293,15.93155,12.17846,12.52948,12.79282
1237654602099980000,149.3188,149.3188534,4.52697,4.526961297,0.001357334,15.29559,14.74524,14.45428,15.26586,14.74522,14.49975,15.24357,14.72306,14.39786,26.6644,26.17003,25.92889
1237654602100370000,150.1884,150.1883617,4.73432,4.734327171,0.000639189,14.47765,13.63547,13.22812,14.42398,13.63549,13.25509,14.5041,13.67346,13.2838,20.64652,20.3627,20.03297
1237654602100370000,150.264,150.2640236,4.61927,4.619279787,0.000598212,15.19599,14.56171,14.23017,15.31774,14.65016,14.29939,15.43081,14.76494,14.42525,9.652429,9.825967,10.27208
1237654602104240000,159.1276,159.1275854,5.01733,5.017335913,0.0006187,17.24981,17.08072,17.02501,17.15491,16.99078,16.90105,17.20576,17.05544,16.97604,5.360023,5.266724,5.3467
1237654602632790000,139.9542,139.9541793,4.48469,4.484697457,0.001091948,16.56796,16.37152,16.29028,16.53182,16.30819,16.1836,16.58624,16.35296,16.19369,8.248686,8.419343,9.133093
1237654602632790000,140.0209,140.0209463,4.48047,4.48049791,0.001795068,17.74848,17.38477,17.19772,17.74687,17.38477,17.22037,17.8131,17.43542,17.27484,4.634225,4.474353,4.467716
1237654602635010000,145.088,145.088056,4.73508,4.735096517,0.00126217,17.81338,17.55381,17.4445,17.71667,17.5136,17.38474,17.82505,17.60635,17.44184,9.422325,9.003684,9.401227
1237654602635800000,146.9108,146.9108156,4.82167,4.821665332,0.000776074,16.18594,15.84391,15.67439,16.17696,15.81166,15.61933,16.20596,15.86635,15.67266,7.270735,7.497141,7.65405
1237654604788460000,159.1913,159.1913042,4.08075,4.080555632,0.011722779,17.85057,17.41066,17.21333,17.79718,17.41066,17.24463,17.80036,17.39219,17.36172,12.21929,13.22313,11.61485
1237654604792790000,169.1095,169.1094161,4.3365,4.336497818,0.004846271,15.82948,15.29201,14.9068,15.74326,15.29199,14.89834,15.73024,15.12589,14.80024,19.29943,19.00002,18.95834
1237654604797700000,180.3916,180.3916087,4.46649,4.466497394,0.000667655,17.37287,16.97638,16.75987,17.25495,16.83892,16.55589,17.32107,16.88145,16.64677,4.950056,5.186891,5.434724
1237654605324810000,158.0053,158.0053371,4.34608,4.346071959,0.000848794,18.06786,17.75672,17.54136,18.04181,17.75672,17.48501,18.09923,17.76789,17.49354,8.615582,7.962609,9.135039
1237654605327690000,164.5748,164.574832,4.66073,4.660733627,0.001106051,17.81528,17.42779,17.25957,17.80045,17.4278,17.25914,17.85521,17.41991,17.32194,9.526453,9.881009,9.735732
1237654605329720000,169.2549,169.2549013,4.66228,4.662280648,0.00019799,18.25425,17.87269,17.70817,18.19105,17.84553,17.68226,18.2202,17.85334,17.66877,6.481668,7.066291,6.510192
1237654605329850000,169.5364,169.5363644,4.61611,4.616111693,0.000757775,15.80715,15.46376,15.31914,15.75513,15.4638,15.2945,15.79374,15.48863,15.33608,24.56931,25.33051,24.77934
1237654605329850000,169.5565,169.5565042,4.69182,4.691855952,0.002149087,18.11854,17.74641,17.55377,18.02059,17.74641,17.53932,18.03205,17.76557,17.69103,11.88677,11.36231,10.54512
1237654605330710000,171.4167,171.4166805,4.67653,4.676535767,0.000527381,17.79837,17.35569,17.12654,17.79,17.35569,17.0751,17.81186,17.35441,17.05542,7.624748,7.7087,8.271953
1237654605334830000,181.0181,181.0180933,4.81308,4.813091849,0.00099996,17.39867,17.08405,17.10186,17.32167,17.08406,17.11511,17.40716,17.16517,17.16976,12.58188,12.08748,11.57036
1237654605857620000,148.6488,148.6487846,4.38553,4.385518962,0.000701541,17.42409,17.15599,17.01041,17.33111,17.156,17.03203,17.43132,17.18019,17.07221,11.95342,11.56536,11.18234
1237654605865220000,166.0608,166.0607903,5.12683,5.126846,0.000955,17.5051,17.04059,16.7862,17.47456,17.00469,16.74397,17.49677,17.01438,16.75873,5.195892,5.151377,5.116853
1237654605866200000,168.3021,168.3021189,5.19633,5.196347568,0.001211468,14.72097,14.33481,14.21774,14.62139,14.33481,14.19762,14.60724,14.34945,14.14902,28.40195,24.63909,26.58603
1237654605869540000,176.0173,176.0172655,5.23411,5.234112576,0.000475715,16.99794,16.69238,16.70198,17.19881,16.82082,16.7128,17.24776,16.88836,16.81483,3.854702,4.168539,4.637682
1237654605870330000,177.7701,177.7700857,5.24621,5.246210341,0.000306434,17.18341,17.10047,17.25391,17.43047,17.10047,17.04295,17.55528,17.34018,17.39768,9.826127,11.88538,13.2394
1237654606389570000,137.3167,137.3166724,4.11315,4.113152908,0.000437552,17.81062,17.36396,17.14406,17.83304,17.36397,17.12102,17.83953,17.37028,17.12225,4.745553,4.834266,5.161765
1237654606391210000,141.0776,141.0775559,4.23781,4.237781565,0.002084898,16.65935,16.15692,15.92492,16.67147,16.15692,15.94273,16.84358,16.27468,16.17023,13.76037,15.21054,13.84233
1237654606395080000,150.0164,150.0164169,4.81252,4.81252593,0.000365764,17.75306,17.04197,16.7087,17.50161,16.8566,16.52972,17.56913,16.94016,16.6178,10.93976,10.58495,10.34806
1237654606395140000,150.0713,150.0713,4.88876,4.888757187,0.000313983,17.37493,16.84425,16.62679,17.48448,16.8443,16.58646,17.48382,17.02773,16.81642,13.30451,11.83244,10.99218
1237654606395270000,150.5,150.5000024,4.79093,4.790931856,0.000778117,17.37768,16.93216,16.74658,17.25585,16.70814,16.52967,17.30879,16.77382,16.58744,7.835527,8.925422,8.598143
1237654606395860000,151.7687,151.7686648,5.00683,5.006845108,0.001143992,17.04558,16.74779,16.59925,16.72477,16.50192,16.21105,16.93968,16.66594,16.41691,15.5314,15.9704,17.42662
1237654606396390000,152.9297,152.9296414,5.05378,5.05378979,0.001097986,17.74463,17.42049,17.29035,17.67991,17.3943,17.2344,17.70955,17.41864,17.25745,8.355978,8.291439,8.586818
1237654606937980000,163.8026,163.8025734,5.86256,5.862589419,0.001824286,15.38145,14.90317,14.69985,15.38146,14.85149,14.6051,15.35804,14.86503,14.61924,8.58847,9.637847,10.50584
1237654606944270000,178.2754,178.2753974,6.15397,6.15397003,0.00131273,16.50803,16.02282,15.77606,16.42406,16.00423,15.80996,16.48272,16.03889,15.85423,11.02925,10.32983,9.359023
1237654879117050000,193.4175,193.4175291,4.07563,4.075627073,0.000254339,17.15907,16.70518,16.50794,17.21937,16.70518,16.50577,17.29238,16.76766,16.57899,10.88784,12.14144,12.01373
1237654879117370000,194.2379,194.2378685,4.06483,4.064838332,0.001085166,15.07531,14.7386,14.58685,15.0401,14.73859,14.56284,15.08907,14.77292,14.6183,20.75286,20.57934,20.71354
1237654879655620000,197.4489,197.4488501,4.24988,4.249896369,0.00145216,17.34184,17.08753,16.99253,17.6613,17.26494,17.13425,17.781,17.42263,17.2712,4.971421,5.43231,5.579518
1237654880197600000,209.1109,209.1109062,4.39667,4.396665435,0.00041647,14.98022,14.36832,14.07768,14.90367,14.28507,13.98936,14.96209,14.3427,14.06236,18.21441,18.11483,17.73356
1237654880200220000,215.1814,215.1814331,4.14363,4.143632371,0.000564884,16.98387,16.36791,16.13313,16.93284,16.30462,16.13655,17.10794,16.41498,16.34193,18.41981,18.95401,17.4936
1237654880201210000,217.4185,217.4185453,4.06237,4.06261502,0.014713104,16.27442,16.00975,15.90833,16.12532,15.91999,15.8883,16.22896,16.01607,15.94771,14.04426,13.23264,12.99287
1237654880734080000,208.2902,208.2902122,4.96094,4.960935309,0.000420637,16.26694,15.78818,15.53419,16.21866,15.78817,15.56045,16.33201,15.88551,15.69607,23.51456,43.77123,21.74514
1237654880734340000,208.9115,208.911449,4.98506,4.985046181,0.000878822,14.98439,14.37513,14.13069,14.90688,14.30677,14.0564,15.25216,14.54814,14.33609,19.31166,20.70278,19.55343
1237654880738470000,218.3514,218.3512707,4.45046,4.450489926,0.008516578,12.93657,12.3924,12.11756,12.97559,12.43609,12.12935,12.83964,12.3035,11.99322,42.05437,47.01777,49.27129
1237654881271150000,208.7436,208.7435451,5.33372,5.333676441,0.003211367,13.4405,12.66144,12.20634,13.08727,12.68003,12.21306,13.09942,12.39881,11.94,62.22573,57.35811,57.28045
1237654881271340000,209.0888,209.0888238,5.32896,5.328947801,0.000742216,17.07748,16.43003,16.08392,17.05297,16.37041,15.91352,17.09812,16.39797,15.96509,17.29736,17.78371,19.69785
1237654881276390000,220.7417,220.7416691,4.88947,4.889464773,0.000942615,13.69035,12.9093,12.4317,13.65245,12.9093,12.44909,13.51215,12.7714,12.34681,37.45969,37.99204,36.24245
1237654881276390000,220.7618,220.7617325,4.76567,4.765646429,0.003996801,25.11439,23.00657,23.33001,25.11438,23.189,23.50364,25.11449,23.381,23.61504,2.970411,1.115475,2.97055
1237654881276780000,221.5842,221.5842466,4.73298,4.732913959,0.004424687,17.67391,17.505,17.47059,17.71499,17.50499,17.5328,17.78414,17.56949,17.6284,7.963221,8.339705,7.180579
1237654881812930000,219.9353,219.9352537,5.35331,5.353331748,0.00131265,16.70882,16.29883,16.10942,16.72101,16.23391,15.96591,16.79844,16.29498,16.04094,14.24444,14.76585,16.60091
1237654881820410000,237.0173,237.017277,4.242431,4.242350313,0.005102154,20.68995,20.20012,20.07339,20.68355,20.20012,20.02661,20.83291,20.33333,20.18437,1.765885,1.756225,1.807087
1237655124466590000,171.2726,171.2726111,4.121,4.121002814,0.001073676,17.18802,16.88729,16.76911,17.12161,16.88732,16.77372,17.22119,16.96656,16.83083,10.18519,9.603366,10.03911
1237655124466720000,171.5346,171.5345821,4.06236,4.062366215,0.000512069,16.60316,16.37193,16.21906,16.54404,16.35495,16.17352,16.65672,16.44031,16.27534,13.11607,13.36549,13.36226
1237655125020040000,209.3085,209.3084908,4.30731,4.307314359,0.000727616,18.9026,16.13482,15.88756,19.37531,16.13482,15.90026,22.79535,16.20978,16.06054,3.599664,15.63515,15.16073
1237655125020830000,211.066,211.0660146,4.11219,4.112177401,0.000801112,14.2469,13.52245,13.1682,14.54652,13.72932,13.40829,14.60244,13.82064,13.49346,28.58083,32.15797,31.51372
1237655125541450000,173.8266,173.8266259,4.95481,4.954841403,0.001888728,17.8698,17.59476,17.52612,17.66467,17.5505,17.65076,17.78699,17.62068,17.7268,9.549239,7.461373,6.380521
1237655126088870000,198.0273,198.0273056,5.4757,5.475694575,0.000556291,21.0313,20.48121,19.79541,20.86684,20.48123,19.8078,21.04107,20.59119,19.87288,1.890793,1.780931,1.944859
1237655126093390000,208.3606,208.3606206,5.20776,5.20775877,0.000343766,13.50754,12.89937,12.60754,13.64026,12.95513,12.608,13.59822,12.97473,12.67134,34.28248,35.60723,34.85305
1237655126093590000,208.7613,208.7612676,5.09034,5.090332648,0.000682769,16.51922,15.8856,15.56838,16.4419,15.85027,15.51896,16.50142,15.89166,15.58242,16.01805,15.45177,15.02799
1237655126093590000,208.7688,208.7687844,5.18953,5.189507256,0.001359291,16.6475,16.42119,16.31101,16.62473,16.40838,16.29475,16.70201,16.44315,16.3396,14.81134,15.16729,15.67882
1237655126093790000,209.2316,209.2315765,5.15188,5.151883998,0.000447062,15.53337,14.90149,14.59408,15.49498,14.87284,14.58519,15.54101,14.89617,14.62307,19.71286,19.40849,18.7434
1237655126613160000,169.1006,169.1005349,5.73132,5.731316346,0.001246209,17.68169,17.31347,17.20363,17.85189,17.38056,17.23147,17.91586,17.48945,17.34263,3.698425,3.568541,3.894851
