Object Name,RA(deg),DEC(deg),Velocity,Redshift,Distance,Best Mag,Abs Mag,Photometry/Distance Note,General Note,StarSub Spectrum Name,NED Name,AGC#,Source,RA_SDSS,Dec_SDSS,z_SDSS,plate,fiberID,URL,SDSS Raw Spectrum,specObjID,Nucl/extra,RA_HI,DEC_HI,RA_AA oc,DEC_AA oc,AA_cz,Name,HI position,OC position,HI FWHM,HI Flux,S/N,rms,AA Dist,HI Mass,Observed?,4M,MDM,Lick,Palomar,HET,Note,Spectrum Quality,EXP Time,,,,,,,,,,,
080224.67+092448.8,120.6028,9.41356,4665,0.015561,66.3393,12.799161,-21.309693,-,,,NGC 2513,,NED,,,,,,,,,,,,,,,,,,,,,,,,MDM2009 N1 45,,MDM2009 N1 45,,,,,,,,,,,,,,,,,
140213.03+080213.5,210.55432,8.03711,4879,0.016275,75.8151,13.296031,-21.10274756,-,,t509139444398292992_ssub.fits,NGC 5417,8943,SDSS,210.55432,8.0371055,0.0162656996399164,1808,562,http://das.sdss.org/spectro/1d_26/1808/1d/spSpec-54176-1808-562.fit,509139444398292992.fit,509139444398292992,n,210.55625,8.043055556,210.5545833,8.036666667,4933,N5417,140213.5+080235,140213.1+080212,669( 98),1.82(0.11),6.8,1.79,72.4,9.35,,,,,,,,,,,,,,,,,,,,
075648.66+072840.6,119.20277,7.47795,4610,0.015377,65.4638,13.015265,-21.064741,-,,,NGC 2485,4112,NED,,,,,,,,,,119.2045833,7.474722222,119.2025,7.4775,4641,N2485,075649.1+072829,075648.6+072839,272(  4),1.70(0.11),8.6,2.67,68.7,9.28,MDM2009 N2 134,,MDM2009 N2 134,,,,,,,,,,,,,,,,,
080137.20+154235.0,120.40504,15.70974,4563,0.01522,64.9511,13.001734,-21.061199,-,,,NGC 2507,,SDSS,120.40455,15.70985,0.0158488992601633,2266,448,http://das.sdss.org/spectro/1d_26/2266/1d/spSpec-53679-2266-448.fit,638052848654876672.fit,638052848654876672,e,,,,,,,,,,,,,,,MDM2009 N4 193,,MDM2009 N4 193,,,,,,,,,,,,,,,,,
135729.63+060549.2,209.37346,6.09701,4382,0.014617,68.6605,13.298947,-20.88458781,-,,t509139443303579648_ssub.fits,NGC 5374,8874,SDSS,209.37346,6.0970063,0.0145766995847225,1808,301,http://das.sdss.org/spectro/1d_26/1808/1d/spSpec-54176-1808-301.fit,509139443303579648.fit,509139443303579648,n,209.3729167,6.1,209.3733333,6.096944444,4373,N5374,135729.5+060600,135729.6+060549,263(  6),8.48(0.10),49.7,2.35,64.3,9.92,,,,,,,,,,,,,,,,,,,,
153000.83+125921.5,232.50348,12.989325,4013.828482,0.0133888,63.3881,13.135391,-20.87464767,-,,t775415046447562752_ssub.fits,,9867,SDSS,232.50348,12.989325,0.0133888004347682,2754,372,http://das.sdss.org/spectro/1d_26/2754/1d/spSpec-54240-2754-372.fit,775415046447562752.fit,775415046447562752,n,232.5045833,12.98694444,232.5029167,12.98888889,4012,N5936,153001.1+125913,153000.7+125920,180(  3),5.48(0.09),35.8,2.54,60.5,9.67,,,,,,,,,,,,,,,,,,,,
094954.75+090948.6,147.47814,9.1635,5220,0.017412,76.4655,13.571051,-20.84627666,-,,,UGC 05270,,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104749.60+123453.9,161.95667,12.58164,911,0.003039,12.2567,9.6,-20.841868,-,,,MESSIER 105,,SDSS,161.95669,12.58166,0.00309138000011444,1749,87,http://das.sdss.org/spectro/1d_26/1749/1d/spSpec-53357-1749-087.fit,492528901201854464.fit,492528901201854464,e,,,,,,,,,,,,,,,HFS,,,,,,pilot,,,,,,,,,,,,,
093859.18+065719.5,144.74662,6.95544,4983,0.016621,72.8388,13.509401,-20.80241291,-,,t347566570429480960_ssub.fits,NGC 2948,5141,SDSS,144.74662,6.9554411,0.0165911000221968,1234,313,http://das.sdss.org/spectro/1d_26/1234/1d/spSpec-52724-1234-313.fit,347566570429480960.fit,347566570429480960,n,144.7479167,6.956388889,144.7466667,6.955277778,4981,N2948,093859.5+065723,093859.2+065719,382(  5),5.50(0.10),29.7,2.12,73.8,9.85,,,,,,,,,,,,,,,,,,,,
114549.06+134600.0,176.45442,13.76669,3186,0.010627,50.3413,12.712014,-20.797608,-,,,NGC 3872,,NED,,,,,,,,,,,,,,,,,,,,,,,,MDM2009 N1 77,,MDM2009 N1 77,,,,pilot,,,,,,,,,,,,,
154130.40+154715.6,235.37667,15.78767,4092,0.013649,64.363,13.246881,-20.7963,-,,,NGC 5980,9974,SDSS,235.37684,15.78769,0.0142850000411272,2795,10,http://das.sdss.org/spectro/1d_26/2795/1d/spSpec-54563-2795-010.fit,786956906248798208.fit,786956906248798208,e,235.3804167,15.78611111,235.3766667,15.7875,4086,N5980,154131.3+154710,154130.4+154715,412(  3),8.28(0.12),37.5,2.39,61.9,9.87,MDM2009 N6 374,,MDM2009 N6 374,,,,,,,,,,,,,,,,,
135812.85+063105.4,209.55358,6.51818,5102,0.017018,78.9991,13.757409,-20.73070172,-,,t508293724480995328_ssub.fits,NGC 5384,,SDSS,209.55358,6.5181847,0.0170482005923986,1805,37,http://das.sdss.org/spectro/1d_26/1805/1d/spSpec-53875-1805-037.fit,508293724480995328.fit,508293724480995328,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112014.98+125929.4,170.06243,12.99152,840.2094385,0.00280266,8.34231,8.9,-20.706432,-,,,,6346,SDSS,170.06243,12.99152,0.00280265999026597,1605,451,http://das.sdss.org/spectro/1d_26/1605/1d/spSpec-53062-1605-451.fit,451995239066894336.fit,451995239066894336,e,170.0629167,12.98833333,170.0625,12.98916667,716,N3627,112015.1+125918,112015.0+125921,369(  3),40.49(0.11),212.7,2.21,9.4,8.92,HFS,,,,,,pilot,,,,,,,,,,,,,
080157.21+083306.7,120.4884,8.55188,4377,0.0146,61.8842,13.253685,-20.70421391,-,,t681120494816067584_ssub.fits,NGC 2508,,SDSS,120.4884,8.5518795,0.0144571997225285,2419,219,http://das.sdss.org/spectro/1d_26/2419/1d/spSpec-54139-2419-219.fit,681120494816067584.fit,681120494816067584,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144429.35+051034.4,221.12233,5.17625,4381,0.014612,68.8989,13.5,-20.69106144,-,,t515047488277708800_ssub.fits,SDSS J144429.36+051034.5,242296,SDSS,221.12231,5.1762613,0.0146177997812629,1829,213,http://das.sdss.org/spectro/1d_26/1829/1d/spSpec-53494-1829-213.fit,515047488277708800.fit,515047488277708800,n,221.1179167,5.180833333,221.1225,5.176111111,4362,Adrienne,144428.3+051051,144429.4+051034,108(  3),2.76(0.07),23.4,2.53,64.3,9.43,,,,,,,,,,,,,,,,,,,,
161256.85+095201.5,243.23691,9.86711,5176,0.017265,78.4381,13.806496,-20.66613933,-,,t712084658371690496_ssub.fits,NGC 6081,10272,SDSS,243.23691,9.8671084,0.0170719996094704,2529,353,http://das.sdss.org/spectro/1d_26/2529/1d/spSpec-54585-2529-353.fit,712084658371690496.fit,712084658371690496,n,243.23875,9.861944444,243.2370833,9.866944444,5124,N6081,161257.3+095143,161256.9+095201,580( 62),1.88(0.11),7.6,1.91,76.3,9.41,,,,,,,,,,,,,,,,,,,,
135814.89+061531.2,209.56206,6.25869,4311,0.01438,67.765,13.49177,-20.663257,-,,,NGC 5382,,NED,,,,,,,,,,,,,,,,,,,,,,,,MDM2009 N2 177,,MDM2009 N2 177,,,,,,,,,,,,,,,,,
104634.95+134503.0,161.64564,13.750859,2967.02754,0.00989702,46.1455,12.673126,-20.64752078,-,,t492528901642256384_ssub.fits,,5880,SDSS,161.64564,13.750859,0.00989701971411705,1749,192,http://das.sdss.org/spectro/1d_26/1749/1d/spSpec-53357-1749-192.fit,492528901642256384.fit,492528901642256384,n,161.6475,13.75,161.6458333,13.75,3039,N3367,104635.4+134500,104635.0+134500,225(  2),18.14(0.10),110.4,2.44,46.1,9.96,,,,,,,pilot,,,,,,,,,,,,,
141215.81+155030.8,213.06588,15.84191,5248,0.017505,80.5723,13.886456,-20.644473,-,,,NGC 5504,9085,NED,,,,,,,,,,213.07,15.83888889,213.0654167,15.84194444,5248,N5504,141216.8+155020,141215.7+155031,221(  6),7.34(0.10),44.6,2.47,77.4,10.02,MDM2009 N2 179,,MDM2009 N2 179,,,,,,,,,,,,,,,,,
114505.52+082810.2,176.27302,8.46951,4492,0.014984,68.7952,13.548614,-20.63917669,-,,t456500217026445312_ssub.fits,NGC 3863,,SDSS,176.27302,8.4695123,0.0149550996720791,1621,367,http://das.sdss.org/spectro/1d_26/1621/1d/spSpec-53383-1621-367.fit,456500217026445312.fit,456500217026445312,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092542.53+112555.7,141.42724,11.43214,3196,0.010661,48.0769,12.803105,-20.606577,-,,,NGC 2872,,SDSS,141.42723,11.43214,0.0107346000149846,1740,535,http://das.sdss.org/spectro/1d_26/1740/1d/spSpec-53050-1740-535.fit,489994309735546880.fit,489994309735546880,e,,,,,,,,,,,,,,,MDM2009 N6 344,,MDM2009 N6 344,,,,,,,,,,,,,,,,,
085850.46+061734.8,134.71029,6.293,3843,0.012819,56.3852,13.170461,-20.58536463,-,,t335462931481231360_ssub.fits,NGC 2718,4707,SDSS,134.71029,6.2929961,0.0128312995657325,1191,265,http://das.sdss.org/spectro/1d_26/1191/1d/spSpec-52674-1191-265.fit,335462931481231360.fit,335462931481231360,n,134.7091667,6.293611111,134.7104167,6.2925,3843,N2718,085850.2+061737,085850.5+061733,121(  3),15.67(0.08),124.8,2.54,58,10.09,,,,,,,,,,,,,,,,,,,,
142858.23+135142.7,217.24263,13.86188,5282,0.017619,81.0706,13.976966,-20.56735094,-,,t773444690845368320_ssub.fits,UGC 09288,,SDSS,217.24263,13.861881,0.0175889991223812,2747,205,http://das.sdss.org/spectro/1d_26/2747/1d/spSpec-54233-2747-205.fit,773444690845368320.fit,773444690845368320,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140500.18+130754.8,211.25079,13.13189,5193,0.017322,79.9675,13.965569,-20.5489986,-,,t479861758786273280_ssub.fits,NGC 5459,9005,SDSS,211.25079,13.131891,0.0173308998346329,1704,167,http://das.sdss.org/spectro/1d_26/1704/1d/spSpec-53178-1704-167.fit,479861758786273280.fit,479861758786273280,n,211.2408333,13.12694444,211.2508333,13.13166667,5239,N5459,140457.8+130737,140500.2+130754,196(  7),0.83(0.07),6.5,2.04,77.1,9.07,,,,,,,,,,,,,,,,,,,,
141450.37+150848.8,213.70989,15.14689,4573,0.015254,71.5425,13.727774,-20.54504656,-,,t772881731727392768_ssub.fits,NGC 5522,9116,SDSS,213.70989,15.14689,0.0153026999905705,2745,68,http://das.sdss.org/spectro/1d_26/2745/1d/spSpec-54231-2745-068.fit,772881731727392768.fit,772881731727392768,n,213.7120833,15.14833333,213.7091667,15.14638889,4576,N5522,141450.9+150854,141450.2+150847,419( 17),7.40(0.11),34.8,2.26,67.9,9.9,,,,,,,,,,,,,,,,,,,,
143050.98+135806.6,217.71244,13.96852,5288.05555,0.017639199,80.1356,14,-20.51912746,-,,,,9333,SDSS,217.71244,13.96852,0.0176391992717981,2747,88,http://das.sdss.org/spectro/1d_26/2747/1d/spSpec-54233-2747-088.fit,773444690354634752.fit,773444690354634752,e,217.7133333,13.9675,217.7125,13.96833333,5217,N5649,143051.2+135803,143051.0+135806,199(  8),8.61(0.09),59.7,2.28,77,10.08,"MDM2009 N2 185, MDM2009 N4 234",,"MDM2009 N2 185, MDM2009 N4 234",,,,,,,,,,,,,,,,,
155730.68+155721.7,239.37787,15.95605,4742,0.015818,73.3438,13.815075,-20.51174204,-,,t709832657399185408_ssub.fits,NGC 6021,,SDSS,239.37787,15.956055,0.0158408004790545,2521,521,http://das.sdss.org/spectro/1d_26/2521/1d/spSpec-54538-2521-521.fit,709832657399185408.fit,709832657399185408,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102343.96+123403.9,155.93317,12.56777,3135,0.010457,48.3312,12.916083,-20.505055,-,,,NGC 3230,,NED,,,,,,,,,,,,,,,,,,,,,,,,MDM2009 N2 166,,MDM2009 N2 166,,,,pilot,,,,,,,,,,,,,
094024.06+145521.5,145.10029,14.92264,3821,0.012745,57.1269,13.289385,-20.49481829,-,,t726719208766832640_ssub.fits,NGC 2954,,SDSS,145.10038,14.922633,0.0127536999061704,2581,136,http://das.sdss.org/spectro/1d_26/2581/1d/spSpec-54085-2581-136.fit,726719208766832640.fit,726719208766832640,n,,,,,,,,,,,,,,,,,,,,,pilot,,,,,,,,,,,,,
140203.52+095545.5,210.51467,9.92931,4259,0.014206,67.1452,13.704232,-20.43084286,-,,t508857965181140992_ssub.fits,NGC 5414,8942,SDSS,210.51469,9.929323,0.0142352003604174,1807,575,http://das.sdss.org/spectro/1d_26/1807/1d/spSpec-54175-1807-575.fit,508857965181140992.fit,508857965181140992,n,210.5166667,9.931111111,210.5145833,9.929444444,4280,N5414,140204.0+095552,140203.5+095546,265( 17),7.22(0.09),47.1,2.1,63.3,9.83,,,,,,,,,,,,,,,,,,,,
142140.49+131356.6,215.41874,13.23239,5018,0.016738,77.544,14.018414,-20.429327,-,,,NGC 5583,9196,SDSS,215.41873,13.23239,0.0171427000313997,1708,359,http://das.sdss.org/spectro/1d_26/1708/1d/spSpec-53503-1708-359.fit,480989055362793472.fit,480989055362793472,e,215.4141667,13.2275,215.4191667,13.23222222,5041,N5583,142139.4+131339,142140.6+131356,342( 12),1.09(0.08),7.3,1.8,74.4,9.15,MDM2009 N2 181,,MDM2009 N2 181,,,,,,,,,,,,,,,,,
